image_name,gps_timestamp,gps_week,yaw,pitch,roll
DSC01034.JPG,554320.195234,2234,-99.6,-2.1,1.1
DSC01035.JPG,554321.863802,2234,-97.8,-3.3,2.3
DSC01036.JPG,554323.498951,2234,-97.2,-3.8,2.6
DSC01037.JPG,554325.133968,2234,-91.5,-4.4,0.7
DSC01038.JPG,554326.737041,2234,-94.2,-3.5,-2.2
DSC01039.JPG,554328.27045,2234,-99.1,-3,-1
DSC01040.JPG,554329.038743,2234,-99,-3.2,2.9
DSC01041.JPG,554330.505494,2234,-102.8,-2,-4
DSC01042.JPG,554332.040637,2234,-97.3,-1.8,3.7
DSC01043.JPG,554333.575454,2234,-93.5,-1.3,4.8
DSC01044.JPG,554335.176865,2234,-92.3,0.6,1
DSC01045.JPG,554336.845951,2234,-94.7,2.3,-0.6
DSC01046.JPG,554338.514093,2234,-92.7,3.1,-1.5
DSC01047.JPG,554340.282338,2234,-92.2,4.3,-2.1
DSC01048.JPG,554342.050734,2234,-92,4.6,-0.7
DSC01049.JPG,554343.919068,2234,-90.4,3,-1.4
DSC01050.JPG,554345.587623,2234,-91.8,6.6,-1.5
DSC01051.JPG,554347.489461,2234,-92.3,4.8,-1.4
DSC01052.JPG,554349.424743,2234,-94.1,4.9,-0.4
DSC01053.JPG,554351.393493,2234,-97,2.5,-1.6
DSC01054.JPG,554353.328624,2234,-94,3,-4.8
DSC01055.JPG,554355.163836,2234,-96.4,3.3,2.7
DSC01056.JPG,554356.965618,2234,-98.2,3.6,1.6
DSC01057.JPG,554358.801159,2234,-94.1,2.7,0.8
DSC01058.JPG,554360.569584,2234,-97.9,2.7,-0.6
DSC01059.JPG,554362.33757,2234,-101.6,3.4,-3.1
DSC01060.JPG,554363.338576,2234,-99.9,1.9,-2
DSC01061.JPG,554365.206909,2234,-90.6,0.4,2
DSC01062.JPG,554367.009574,2234,-94.3,2.9,-3.5
DSC01063.JPG,554368.810824,2234,-94.2,2.4,0.8
DSC01064.JPG,554370.680519,2234,-91.7,-0.3,-0.5
DSC01065.JPG,554372.514305,2234,-94.8,-0.1,-3.4
DSC01066.JPG,554374.416339,2234,-93,-0.8,1.2
DSC01067.JPG,554376.285244,2234,-92.1,0.2,3.6
DSC01068.JPG,554378.086708,2234,-91.3,-0.3,-1.2
DSC01069.JPG,554379.855185,2234,-96.2,-1.7,0.6
DSC01070.JPG,554380.823033,2234,-96,-3.3,-3.8
DSC01071.JPG,554382.49098,2234,-97.9,-1.8,3.2
DSC01072.JPG,554384.159694,2234,-97.1,-1.1,-0.2
DSC01073.JPG,554385.794039,2234,-99.1,1.8,-0.3
DSC01074.JPG,554387.562633,2234,-98.3,0.7,-2.9
DSC01075.JPG,554389.364786,2234,-103.2,2.1,-0.3
DSC01076.JPG,554391.166255,2234,-101,3.8,2.7
DSC01077.JPG,554392.90133,2234,-96.2,5.2,-3.5
DSC01078.JPG,554394.669734,2234,-95.5,7.3,0.5
DSC01079.JPG,554396.572074,2234,-98.1,5.7,-2.3
DSC01080.JPG,554398.373771,2234,-98,6.1,-0.5
DSC01081.JPG,554400.4091,2234,-95.9,5,-1
DSC01082.JPG,554402.4456,2234,-96.2,5.6,-2.4
DSC01083.JPG,554404.446434,2234,-98.3,4.2,-0.8
DSC01084.JPG,554406.548649,2234,-100.4,2.3,2.5
DSC01085.JPG,554408.584077,2234,-98.4,3.3,1.8
DSC01086.JPG,554410.552576,2234,-97,4.9,0.2
DSC01087.JPG,554412.521247,2234,-98.4,4.8,-3.3
DSC01088.JPG,554414.557707,2234,-100,3.2,-1.4
DSC01089.JPG,554416.558581,2234,-99.3,3.7,2
DSC01090.JPG,554417.826472,2234,-97.5,2.9,0.7
DSC01091.JPG,554419.962338,2234,-100.3,2.4,-1.3
DSC01092.JPG,554422.064124,2234,-101,1.6,-0.4
DSC01093.JPG,554424.19965,2234,-101.9,1.4,-3.3
DSC01094.JPG,554426.30283,2234,-100.1,0.6,2.3
DSC01095.JPG,554428.337115,2234,-96.1,-0.2,3.6
DSC01096.JPG,554430.372599,2234,-96.6,-0.3,-1.3
DSC01097.JPG,554432.374693,2234,-96.5,-0.8,-2
DSC01098.JPG,554434.376405,2234,-97,0,-1.9
DSC01099.JPG,554436.378332,2234,-96.1,-0.1,1.3
DSC01100.JPG,554438.380359,2234,-100,0.1,2.3
DSC01101.JPG,554440.348773,2234,-97.6,1.8,-1
DSC01102.JPG,554442.317609,2234,-98.4,2.6,-0.3
DSC01103.JPG,554444.319748,2234,-100,2.4,-1.2
DSC01104.JPG,554446.321719,2234,-99.4,2.3,2.2
DSC01105.JPG,554448.39088,2234,-97.3,2.5,-1.5
DSC01106.JPG,554450.425727,2234,-102.5,2.5,0.9
DSC01107.JPG,554452.461084,2234,-93.3,3,0.8
DSC01108.JPG,554454.463092,2234,-98.3,3.5,-1.5
DSC01109.JPG,554456.432413,2234,-98.4,4.4,0.1
DSC01110.JPG,554467.192966,2234,66.4,5.4,8.5
DSC01111.JPG,554468.644034,2234,79.7,6,16.5
DSC01112.JPG,554470.078676,2234,88.3,5.6,8
DSC01113.JPG,554471.546532,2234,92.8,6.1,-1.7
DSC01114.JPG,554473.015072,2234,87.1,5.1,-7
DSC01115.JPG,554474.483078,2234,81.5,5.1,-8.6
DSC01116.JPG,554475.884483,2234,77,5.2,-3.5
DSC01117.JPG,554477.31917,2234,79.9,5.4,-0.4
DSC01118.JPG,554478.72042,2234,78.8,6.3,0.9
DSC01119.JPG,554480.121984,2234,83.5,4.6,1.3
DSC01120.JPG,554481.590737,2234,83.1,5.4,0.6
DSC01121.JPG,554482.324447,2234,82.3,5.2,-0.6
DSC01122.JPG,554483.82579,2234,82.5,2.9,-3.6
DSC01123.JPG,554485.394105,2234,77.4,1.4,1.4
DSC01124.JPG,554486.928685,2234,82.5,-0.4,2
DSC01125.JPG,554488.497386,2234,79.8,-1.7,-2.1
DSC01126.JPG,554489.998624,2234,77.7,-1,-1.1
DSC01127.JPG,554491.533618,2234,79.9,-1.3,-1.7
DSC01128.JPG,554493.035137,2234,81.3,-2.2,1
DSC01129.JPG,554494.503438,2234,77.6,-1.5,0.2
DSC01130.JPG,554495.937765,2234,77.3,-1,1.3
DSC01131.JPG,554496.706909,2234,78.5,-1.1,3
DSC01132.JPG,554498.073993,2234,79.5,-0.2,2.9
DSC01133.JPG,554499.441451,2234,78.7,1.2,-2
DSC01134.JPG,554500.842901,2234,80.1,1.2,0.3
DSC01135.JPG,554502.277543,2234,79.7,0.5,-1
DSC01136.JPG,554503.712486,2234,80.5,1.3,0.3
DSC01137.JPG,554505.147744,2234,80.3,1.5,0.4
DSC01138.JPG,554506.583491,2234,77.3,1.9,-1.8
DSC01139.JPG,554507.983405,2234,79.8,1.2,4.1
DSC01140.JPG,554509.419243,2234,80.2,2,0.9
DSC01141.JPG,554510.152218,2234,81,2.2,-0.8
DSC01142.JPG,554511.553794,2234,80.4,2.4,-0.6
DSC01143.JPG,554512.988729,2234,81.7,2.7,1.3
DSC01144.JPG,554514.35621,2234,79.7,4.3,-3.4
DSC01145.JPG,554515.79109,2234,80.6,3.3,1.8
DSC01146.JPG,554517.192568,2234,81.8,4,0.8
DSC01147.JPG,554518.628593,2234,81.4,4.3,-1.1
DSC01148.JPG,554520.028911,2234,81.5,3.8,0.4
DSC01149.JPG,554521.463869,2234,81.9,3.4,0.6
DSC01150.JPG,554522.933107,2234,80,4,0.8
DSC01151.JPG,554524.09955,2234,84,3.2,3
DSC01152.JPG,554525.534558,2234,83.2,4.2,-4.5
DSC01153.JPG,554526.935481,2234,80.7,4,-1.9
DSC01154.JPG,554528.33722,2234,84.1,3.7,1.2
DSC01155.JPG,554529.738067,2234,81.6,4.4,-0.9
DSC01156.JPG,554531.139818,2234,82.3,4.7,0.9
DSC01157.JPG,554532.507711,2234,83,3.2,-0.7
DSC01158.JPG,554533.842558,2234,85.1,5.4,0.4
DSC01159.JPG,554535.244342,2234,85.3,6.3,1.3
DSC01160.JPG,554536.64584,2234,78.2,4.7,-0.5
DSC01161.JPG,554537.713186,2234,80.7,3.6,0.2
DSC01162.JPG,554539.114498,2234,80.4,5.4,-0.6
DSC01163.JPG,554540.515967,2234,77.7,2.1,1
DSC01164.JPG,554541.884155,2234,76.6,5.9,-1.7
DSC01165.JPG,554543.285442,2234,77.9,3.8,-0.7
DSC01166.JPG,554544.720204,2234,79,4.6,-2.2
DSC01167.JPG,554546.154888,2234,77.5,2.4,-2.8
DSC01168.JPG,554547.623074,2234,76.8,3.1,-1.8
DSC01169.JPG,554549.091623,2234,79.6,0.9,1.9
DSC01170.JPG,554550.525739,2234,79.5,2.3,2.1
DSC01171.JPG,554551.493927,2234,77.6,2.2,-2.3
DSC01172.JPG,554552.961802,2234,74.4,3.2,-4.4
DSC01173.JPG,554554.496465,2234,71.9,0.6,3.3
DSC01174.JPG,554555.964789,2234,77.8,0.6,0.4
DSC01175.JPG,554557.432824,2234,76.6,0.6,0.9
DSC01176.JPG,554558.967782,2234,80.7,-1.5,0.8
DSC01177.JPG,554560.469177,2234,77,-0.7,0.1
DSC01178.JPG,554562.037978,2234,73.4,-2.2,-0.9
DSC01179.JPG,554563.572353,2234,71.2,-3.2,1.4
DSC01180.JPG,554565.141937,2234,71,-2.9,3.8
DSC01181.JPG,554565.87469,2234,74.7,-2.7,4
DSC01182.JPG,554567.375943,2234,75,-1.6,1.6
DSC01183.JPG,554568.911079,2234,78.8,-1.5,1.8
DSC01184.JPG,554570.446377,2234,79.1,-1,1.8
DSC01185.JPG,554571.947404,2234,79,0.3,1.6
DSC01186.JPG,554573.448698,2234,79.4,0.3,-0.7
DSC01187.JPG,554574.985322,2234,80.2,1.5,0.1
DSC01188.JPG,554576.485639,2234,76.8,2.3,-1.8
DSC01189.JPG,554578.021235,2234,80.5,2.7,2.1
DSC01190.JPG,554579.588682,2234,77.4,1.7,-1.1
DSC01191.JPG,554581.123361,2234,77.6,3.7,3.4
DSC01192.JPG,554582.691804,2234,77.8,3.3,0.2
DSC01193.JPG,554584.226725,2234,79.8,4.3,0.4
DSC01194.JPG,554585.694538,2234,80.8,7.2,-3.6
DSC01195.JPG,554587.229626,2234,74.5,7.1,-4.8
DSC01196.JPG,554588.764262,2234,75.3,6.7,0.8
DSC01197.JPG,554590.365707,2234,76.8,3.2,-0.8
DSC01198.JPG,554591.967392,2234,79,4,2
DSC01199.JPG,554593.602494,2234,78.3,2.8,-1.1
DSC01200.JPG,554605.264667,2234,-91.6,3,-8
DSC01201.JPG,554607.182995,2234,-94.4,2.9,0.2
DSC01202.JPG,554609.052384,2234,-92.6,3.6,-0.3
DSC01203.JPG,554610.953271,2234,-93.5,2.1,-0.7
DSC01204.JPG,554612.888787,2234,-95.4,2.7,-3.9
DSC01205.JPG,554614.756723,2234,-99.9,3.4,1.7
DSC01206.JPG,554616.658718,2234,-95.8,3.3,0.4
DSC01207.JPG,554618.627444,2234,-95.9,2.6,1.8
DSC01208.JPG,554620.562746,2234,-95,2.5,-1.6
DSC01209.JPG,554622.431313,2234,-100.6,4.8,-2.6
DSC01210.JPG,554624.399801,2234,-95.8,1.8,1.9
DSC01211.JPG,554625.133942,2234,-96.4,0.8,3.5
DSC01212.JPG,554627.102707,2234,-90.5,0.7,-2.7
DSC01213.JPG,554629.004576,2234,-94.8,0.1,0.9
DSC01214.JPG,554630.839995,2234,-95.6,2.2,-3.4
DSC01215.JPG,554632.574807,2234,-96.5,2.3,-0.8
DSC01216.JPG,554634.343099,2234,-97.8,4.6,-3.1
DSC01217.JPG,554636.178117,2234,-97.2,2.2,-1.2
DSC01218.JPG,554638.046979,2234,-97,1.9,4.4
DSC01219.JPG,554640.015567,2234,-98,0.3,-3.7
